file_path,fruit,ripeness,class,class_idx
..\data\raw\tomato\overripe\tomato_overripe_0093.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\mango\unripe\mango_unripe_0055.jpg,mango,unripe,mango_unripe,3
..\data\raw\mango\unripe\mango_unripe_0070.jpg,mango,unripe,mango_unripe,3
..\data\raw\banana\ripe\banana_ripe_0099.jpg,banana,ripe,banana_ripe,7
..\data\raw\banana\overripe\banana_overripe_0013.jpg,banana,overripe,banana_overripe,8
..\data\raw\banana\overripe\banana_overripe_0055.jpg,banana,overripe,banana_overripe,8
..\data\raw\tomato\ripe\tomato_ripe_0045.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\mango\ripe\mango_ripe_0086.jpg,mango,ripe,mango_ripe,4
..\data\raw\banana\ripe\banana_ripe_0057.jpg,banana,ripe,banana_ripe,7
..\data\raw\tomato\overripe\tomato_overripe_0026.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\banana\overripe\banana_overripe_0088.jpg,banana,overripe,banana_overripe,8
..\data\raw\tomato\overripe\tomato_overripe_0094.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\mango\overripe\mango_overripe_0030.jpg,mango,overripe,mango_overripe,5
..\data\raw\banana\overripe\banana_overripe_0096.jpg,banana,overripe,banana_overripe,8
..\data\raw\banana\ripe\banana_ripe_0079.jpg,banana,ripe,banana_ripe,7
..\data\raw\banana\unripe\banana_unripe_0004.jpg,banana,unripe,banana_unripe,6
..\data\raw\banana\ripe\banana_ripe_0060.jpg,banana,ripe,banana_ripe,7
..\data\raw\mango\unripe\mango_unripe_0091.jpg,mango,unripe,mango_unripe,3
..\data\raw\banana\unripe\banana_unripe_0071.jpg,banana,unripe,banana_unripe,6
..\data\raw\mango\ripe\mango_ripe_0087.jpg,mango,ripe,mango_ripe,4
..\data\raw\tomato\overripe\tomato_overripe_0042.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\unripe\tomato_unripe_0044.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\mango\unripe\mango_unripe_0059.jpg,mango,unripe,mango_unripe,3
..\data\raw\tomato\overripe\tomato_overripe_0060.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\banana\overripe\banana_overripe_0064.jpg,banana,overripe,banana_overripe,8
..\data\raw\mango\unripe\mango_unripe_0071.jpg,mango,unripe,mango_unripe,3
..\data\raw\tomato\overripe\tomato_overripe_0059.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\banana\overripe\banana_overripe_0089.jpg,banana,overripe,banana_overripe,8
..\data\raw\tomato\ripe\tomato_ripe_0092.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\mango\ripe\mango_ripe_0065.jpg,mango,ripe,mango_ripe,4
..\data\raw\tomato\overripe\tomato_overripe_0081 - Copy.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\mango\overripe\mango_overripe_0055.jpg,mango,overripe,mango_overripe,5
..\data\raw\tomato\unripe\tomato_unripe_0056.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\banana\ripe\banana_ripe_0069.jpg,banana,ripe,banana_ripe,7
..\data\raw\mango\overripe\mango_overripe_0004.jpg,mango,overripe,mango_overripe,5
..\data\raw\mango\overripe\mango_overripe_0096.jpg,mango,overripe,mango_overripe,5
..\data\raw\banana\unripe\banana_unripe_0041.jpg,banana,unripe,banana_unripe,6
..\data\raw\mango\ripe\mango_ripe_0094.jpg,mango,ripe,mango_ripe,4
..\data\raw\tomato\overripe\tomato_overripe_0010.jpg,tomato,overripe,tomato_overripe,2
..\data\raw\tomato\ripe\tomato_ripe_0046.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\tomato\unripe\tomato_unripe_0073.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\tomato\unripe\tomato_unripe_0099.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\tomato\unripe\tomato_unripe_0012.jpg,tomato,unripe,tomato_unripe,0
..\data\raw\mango\overripe\mango_overripe_0069.jpg,mango,overripe,mango_overripe,5
..\data\raw\tomato\ripe\tomato_ripe_0093.jpg,tomato,ripe,tomato_ripe,1
..\data\raw\banana\overripe\banana_overripe_0097.jpg,banana,overripe,banana_overripe,8
..\data\raw\mango\ripe\mango_ripe_0092.jpg,mango,ripe,mango_ripe,4
..\data\raw\banana\ripe\banana_ripe_0023.jpg,banana,ripe,banana_ripe,7
..\data\raw\mango\ripe\mango_ripe_0013.jpg,mango,ripe,mango_ripe,4
